apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed,overall_summary,formatted_datetime
20.83,0.05,10.19,0.51,clear-day,353.08,0.0,0.0,,1016.17,Clear,20.83,1559898000,5,10.01,154,1.48,0.63,Partly cloudy tonight.,2019-06-07 14:30:00
21.88,0.04,10.49,0.48,clear-day,350.81,0.0,0.0,,1015.89,Clear,21.88,1559901600,6,11.47,84,1.52,0.23,Partly cloudy tonight.,2019-06-07 15:30:00
22.41,0.02,11.11,0.49,clear-day,349.51,0.0,0.0,,1015.48,Clear,22.41,1559905200,7,16.09,141,1.93,1.93,Partly cloudy tonight.,2019-06-07 16:30:00
22.89,0.0,11.54,0.49,clear-day,348.21,0.0,0.0,,1015.06,Clear,22.89,1559908800,7,16.09,156,2.45,1.66,Partly cloudy tonight.,2019-06-07 17:30:00
23.64,0.0,11.59,0.47,clear-day,346.57,0.0,0.0,,1014.6,Clear,23.64,1559912400,6,16.09,156,2.83,1.87,Partly cloudy tonight.,2019-06-07 18:30:00
24.49,0.0,11.57,0.44,clear-day,344.88,0.0,0.0,,1014.13,Clear,24.49,1559916000,4,16.09,148,3.18,2.12,Partly cloudy tonight.,2019-06-07 19:30:00
25.37,0.0,11.74,0.43,clear-day,343.27,0.0,0.0,,1013.66,Clear,25.37,1559919600,3,16.09,139,3.61,2.42,Partly cloudy tonight.,2019-06-07 20:30:00
25.96,0.0,12.33,0.43,clear-day,341.7,0.0,0.0,,1013.19,Clear,25.96,1559923200,2,16.09,131,4.11,2.8,Partly cloudy tonight.,2019-06-07 21:30:00
25.9,0.0,13.12,0.45,clear-day,340.2,0.0,0.0,,1012.74,Clear,25.9,1559926800,1,16.09,125,4.7,3.24,Partly cloudy tonight.,2019-06-07 22:30:00
25.36,0.0,13.74,0.49,clear-day,339.13,0.0,0.0,,1012.44,Clear,25.36,1559930400,0,16.09,121,5.56,3.65,Partly cloudy tonight.,2019-06-07 23:30:00
24.21,0.0,13.96,0.53,clear-day,338.71,0.0,0.0,,1012.34,Clear,24.21,1559934000,0,16.09,121,7.0,4.05,Partly cloudy tonight.,2019-06-08 00:30:00
22.82,0.0,14.01,0.58,clear-night,338.66,0.0,0.0,,1012.41,Clear,22.82,1559937600,0,16.09,124,8.74,4.43,Partly cloudy tonight.,2019-06-08 01:30:00
21.66,0.0,14.2,0.63,clear-night,338.2,0.0,0.0,,1012.54,Clear,21.66,1559941200,0,16.09,128,9.97,4.66,Partly cloudy tonight.,2019-06-08 02:30:00
