apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed,formatted_datetime
21.33,1.0,12.96,0.59,cloudy,327.73,0.5283,0.21,rain,1013.59,Overcast,21.33,1559599200,0,11.93,32,8.69,2.57,2019-06-04 03:30:00
20.87,1.0,12.91,0.6,cloudy,327.83,0.5283,0.15,rain,1013.37,Overcast,20.87,1559602800,0,11.28,33,7.72,1.52,2019-06-04 04:30:00
19.39,1.0,12.87,0.66,cloudy,328.0,0.442,0.07,rain,1013.53,Overcast,19.39,1559606400,0,10.7,304,6.82,0.85,2019-06-04 05:30:00
17.86,1.0,12.88,0.73,cloudy,329.87,0.2362,0.05,rain,1013.65,Overcast,17.86,1559610000,0,9.85,315,5.56,0.97,2019-06-04 06:30:00
18.36,1.0,12.92,0.71,cloudy,329.67,0.0432,0.04,rain,1013.65,Overcast,18.36,1559613600,0,9.93,292,4.91,2.0,2019-06-04 07:30:00
18.56,1.0,12.94,0.7,cloudy,329.77,0.0,0.0,,1013.66,Overcast,18.56,1559617200,0,10.01,304,4.36,2.91,2019-06-04 08:30:00
18.44,1.0,13.92,0.75,cloudy,330.1,0.0,0.0,,1013.73,Overcast,18.44,1559620800,0,10.01,311,3.98,2.14,2019-06-04 09:30:00
18.38,0.99,14.43,0.78,cloudy,330.7,0.0,0.0,,1013.81,Overcast,18.38,1559624400,1,10.01,306,3.7,1.86,2019-06-04 10:30:00
21.16,0.92,14.86,0.67,partly-cloudy-day,330.54,0.0,0.0,,1013.66,Mostly Cloudy,21.16,1559628000,1,10.01,8,2.71,2.15,2019-06-04 11:30:00
22.7,0.79,13.87,0.58,partly-cloudy-day,334.05,0.0,0.0,,1013.6,Mostly Cloudy,22.7,1559631600,2,10.01,31,2.16,1.78,2019-06-04 12:30:00
24.24,0.61,14.46,0.54,partly-cloudy-day,338.75,0.0,0.0,,1013.5,Mostly Cloudy,24.24,1559635200,3,10.01,289,2.02,1.69,2019-06-04 13:30:00
25.83,0.19,13.36,0.46,clear-day,342.49,0.0,0.0,,1013.31,Clear,25.83,1559638800,5,10.01,254,1.9,0.28,2019-06-04 14:30:00
27.23,0.19,12.89,0.41,clear-day,344.67,0.0,0.0,,1012.99,Clear,27.23,1559642400,6,10.01,95,2.11,1.96,2019-06-04 15:30:00
28.34,0.25,13.29,0.4,partly-cloudy-day,345.9,0.0,0.0,,1012.57,Partly Cloudy,28.34,1559646000,6,10.01,134,2.74,2.68,2019-06-04 16:30:00
29.32,0.24,12.38,0.35,clear-day,345.95,0.0,0.0,,1012.15,Clear,29.32,1559649600,6,10.01,161,3.35,3.35,2019-06-04 17:30:00
30.31,0.36,11.83,0.32,partly-cloudy-day,343.14,0.0,0.0,,1011.8,Partly Cloudy,30.31,1559653200,5,10.64,130,3.43,3.43,2019-06-04 18:30:00
29.59,0.55,11.84,0.34,partly-cloudy-day,340.67,0.0,0.0,,1011.37,Partly Cloudy,29.59,1559656800,4,10.28,172,3.2,2.97,2019-06-04 19:30:00
30.99,0.68,11.84,0.31,partly-cloudy-day,338.65,0.0,0.0,,1010.98,Mostly Cloudy,30.99,1559660400,2,16.09,204,2.8,1.29,2019-06-04 20:30:00
31.19,0.69,10.84,0.29,partly-cloudy-day,337.71,0.0,0.0,,1010.66,Mostly Cloudy,31.19,1559664000,1,9.95,144,2.45,2.19,2019-06-04 21:30:00
30.49,0.64,11.28,0.31,partly-cloudy-day,337.24,0.0,0.0,,1010.36,Mostly Cloudy,30.49,1559667600,1,9.98,130,3.21,3.21,2019-06-04 22:30:00
30.44,0.54,11.63,0.32,partly-cloudy-day,336.68,0.0,0.0,,1009.89,Partly Cloudy,30.44,1559671200,0,10.01,84,1.84,1.72,2019-06-04 23:30:00
28.63,0.37,12.85,0.38,partly-cloudy-day,336.38,0.0,0.0,,1009.9,Partly Cloudy,28.63,1559674800,0,10.01,64,2.57,2.21,2019-06-05 00:30:00
26.18,0.16,14.01,0.47,clear-night,336.32,0.0,0.0,,1010.07,Clear,26.18,1559678400,0,10.01,85,3.98,3.98,2019-06-05 01:30:00
25.45,0.01,14.56,0.51,clear-night,336.13,0.0,0.0,,1010.19,Clear,25.45,1559682000,0,10.01,101,4.89,4.09,2019-06-05 02:30:00
